local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
anch	1	1415	0
anch			0
anch			0
anch			0
anch	2	1415	0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			0
anch			4
anch	3	750	1
anch	4	750	5
anch			5
anch			5
anch	5	1550	9
anch			9
anch	6	1550	
anch	7	350	
anch	8	350	
anch	9	1100	3
anch	10	1100	
anch	11	1415	10
anch	12	1415	7
anch	13	750	1
anch	14	750	
anch	15	1550	6
anch	16	1550	
anch	17	350	
anch	18	350	
anch	19	1100	2,5
anch			10
anch			1
anch	20	1100	3,5
anch			3,5
anch			10
anch			0,5
anch			4,5
anch			0,5
anch	21	1415	
anch	22	1415	
anch	23	1550	8
anch			3
anch			3
anch			3
anch	24	1550	
anch	25	750	1,5
anch	26	750	
anch	27	350	5
anch			5
anch			5
anch	28	350	
anch	29	1100	4
anch			3
anch	30	1100	
anch	31	2700	0
anch			2
anch			15
anch			20
anch	32	750	
anch	33	750	1
anch	34	1550	1
anch			15
anch			12
anch	35	1550	12
anch			12
anch	36	350	1
anch	37	350	
anch	38	1100	6
anch			0
anch			0
anch	39	1100	
anch	40	1415	
anch	41	1415	
anch	42	1550	3
anch			3
anch			2
anch	43	1550	2,5
anch			2,5
anch			2,5
anch			2,5
anch			6
anch	44	1100	
anch	45	1100	
anch	46	2700	15
anch			15
anch			10
anch			10
anch			10
anch			10
anch			10
anch			6
anch			6
anch			10
anch			10
anch			10
anch			10
anch	47	1415	
anch	48	1415	
anch	49	750	1,5
anch			2
anch	50	750	1
anch	51	350	
anch	52	350	
anch	53	1415	
anch	54	1415	10
anch			10
anch			10
anch			10
anch	55	350	
anch	56	350	
anch	57	1550	
anch	58	1550	
anch	59	750	1
anch	60	750	
anch	61	1100	
anch	62	1100	7
anch			
anch	63	350	
anch	64	350	
anch	65	1100	
anch	66	1100	
anch	67	750	
anch	68	750	6
anch			6
anch	69	1415	1,5
anch	70	1415	
anch			3
anch	71	1550	6
anch			6
anch	72	1550	
anch	73	1415	
anch	74	1415	0
anch			0
anch			0
anch			0
anch			0
anch	75	350	
anch	76	350	
anch	77	1100	1
anch			1
anch			1
anch	78	1100	2
anch	79	1550	3
anch			3
anch			3
anch	80	1550	
anch	81	750	
anch	82	750	
anch	83	750	
anch	84	750	8
anch			8
anch			8
anch	85	350	0
anch			0
anch	86	350	
anch	87	1550	
anch	88	1550	
anch	89	1100	
anch	90	1100	
anch	91	1415	
anch	92	1415	
anch	93	350	
anch	94	350	
anch	95	2700	10
anch			10
anch			10
anch			10
anch			9
anch			0
anch	96	1100	2
anch	97	1100	
anch	98	750	
anch	99	750	
anch	100	1550	
anch	101	1550	
anch	102	350	
anch	103	350	
anch	104	1100	6
anch			1
anch	105	1100	
anch	106	1415	
anch	107	1415	
anch	108	750	0
anch			0
anch			0
anch	109	750	0
anch			0
anch			0
anch			0
anch			1
anch	110	1550	
anch	111	1550	0
anch	112	1100	10
anch	113	1100	
anch	114	1415	0
anch	115	1415	0
anch	116	750	2,5
anch			2,5
anch			1
anch	117	750	
anch	118	1550	0
anch	119	1550	
anch	120	350	
anch	121	350	
anch	122	750	
anch	123	750	1
anch			1
anch			0
anch	124	350	
anch	125	350	
anch	126	1550	
anch			8
anch	127	1550	
anch	128	1415	
anch			3
anch	129	1415	3
anch			3
anch			1
anch	130	1100	
anch	131	1100	
