local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
anch	1	1415	10
anch			10
anch			3,5
anch			0
anch			0
anch			8
anch	2	1415	0,5
anch			5
anch			0
anch			2
anch			6
anch	3	750	
anch	4	750	5
anch	5	1550	
anch			
anch	6	1550	
anch	7	350	
anch	8	350	
anch	9	1100	15
anch			10
anch			10
anch	10	1100	
anch	11	1415	12
anch			12
anch			5
anch			3
anch			3
anch			7
anch			8
anch			0
anch	13	750	5
anch	14	750	
anch	15	1550	
anch	16	1550	
anch	17	350	
anch	18	350	
anch	19	1100	10
anch			7
anch			6
anch			0
anch			3,5
anch	20	1100	1,5
anch			4
anch			15
anch			7
anch	21	1415	8
anch			0
anch			1
anch	22	1415	15
anch			0
anch			0
anch			0
anch			0
anch			3
anch	24	1550	3
anch			2
anch			2
anch			2
anch	25	750	
anch			
anch			
anch	26	750	
anch	27	350	
anch			0
anch	28	350	
anch	29	1100	3
anch			2
anch	30	1100	6
anch	31	2700	10
anch			10
anch			10
anch			0
anch	32	750	5
anch			3
anch	34	1550	3
anch	35	1550	0
anch	36	350	
anch	37	350	
anch	38	1100	25
anch			8
anch			0
anch			0
anch	39	1100	4
anch	40	1415	10
anch			10
anch			10
anch			7
anch	41	1415	10
anch			0
anch			0
anch			11
anch			5
anch			5
anch			5
anch			5
anch	42	1550	5
anch			1
anch			3
anch	43	1550	1
anch	44	1100	
anch	45	1100	
anch	46	2700	10
anch			10
anch			6
anch			12
anch			20
anch	47	1415	0
anch			17
anch			1,5
anch	48	1415	0
anch	49	750	3,5
anch			2,5
anch			2
anch			12
anch	50	750	7,5
anch			5
anch	51	350	
anch	52	350	
anch	53	1415	9
anch			10
anch	54	1415	10
anch	55	350	
anch	56	350	
anch	57	1550	6
anch			6
anch			2
anch	58	1550	3
anch			0
anch	59	750	2
anch	60	750	
anch	61	1100	5
anch			8
anch	62	1100	3
anch	63	350	
anch	64	350	
anch	65	1100	0
anch	66	1100	4
anch	67	750	
anch	68	750	1
anch	69	1415	0,5
anch			2
anch			7
anch			0
anch			3,5
anch	70	1415	0
anch	71	1550	0
anch	72	1550	0
anch	73	1415	0
anch			12
anch			7
anch	74	1415	1
anch			13
anch			10
anch			0
anch			5
anch			4
anch			3
anch			1,5
anch			10
anch			10
anch			10
anch	75	350	5
anch			8
anch			10
anch	76	350	
anch	77	1100	
anch			
anch	78	1100	15
anch			7
anch			1
anch			1
anch	79	1550	1
anch			0
anch			1
anch			4
anch			3
anch			3
anch			2
anch			2
anch			1
anch	80	1550	5
anch			5
anch			3
anch			2
anch	81	750	5
anch	82	750	
anch			
anch	83	750	
anch	84	750	8
anch			8
anch	85	350	
anch	86	350	5
anch			5
anch			5
anch	87	1550	4
anch			2,5
anch			9
anch			1
anch	88	1550	0
anch			0
anch	89	1100	
anch	90	1100	
anch	91	1415	7
anch			3
anch			0,5
anch	92	1415	4
anch			7
anch			7
anch			2
anch	93	350	
anch	94	350	
anch	95	2700	7
anch			0
anch			4
anch			0
anch			1
anch			3,5
anch			0
anch			3
anch			4
anch			4
anch			1
anch			3
anch			3
anch			8
anch			0
anch			4
anch	96	1100	4
anch	97	1100	0
anch	98	750	4
anch			1
anch	99	750	3
anch			6
anch	100	1550	0
anch			4
anch			2
anch			0
anch			0
anch	101	1550	3
anch	102	350	
anch	103	350	15
anch	104	1100	3,5
anch	105	1100	3,5
anch			4
anch	106	1415	1
anch			0
anch	107	1415	
anch	108	750	0
anch			6
anch			7
anch			7
anch			0
anch			4
anch			4
anch	109	750	3
anch			0
anch			2,5
anch			2
anch	110	1550	0
anch			5
anch			0
anch			6
anch			3
anch			2
anch			2
anch			2
anch	111	1550	0
anch	112	1100	
anch	113	1100	0
anch			1
anch	114	1415	10
anch			0
anch			1
anch			0
anch			1
anch			6
anch	115	1415	1
anch			4
anch			6
anch			3
anch			5
anch			3
anch			3
anch			0
anch			0
anch			12
anch			3
anch			10
anch	116	750	6,5
anch	117	750	3
anch	118	1550	0
anch			3
anch			2,5
anch			18
anch			3
anch			3,5
anch	119	1550	1
anch			0
anch	120	350	
anch	121	350	
anch	122	750	0
anch			5
anch	123	750	7
anch			7
anch			5
anch			8
anch	124	350	
anch	125	350	
anch	126	1550	6
anch			3
anch			3
anch			12
anch			7
anch			5,5
anch	127	1550	0
anch	128	1415	6,5
anch			4
anch			7,5
anch			0
anch			0
anch	129	1415	6
anch			0
anch			3
anch			3
anch			3
anch	130	1100	6
anch	131	1100	
