local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
anch	1	1,415	10
anch			10
anch			3,5
anch			0
anch			0
anch			8
anch	2	1,415	0,5
anch			5
anch			0
anch			2
anch			6
anch	3	0,750	
anch	4	0,750	5
anch	5	1,550	
anch			
anch	6	1,550	
anch	7	0,350	
anch	8	0,350	
anch	9	1,100	15
anch			10
anch			10
anch	10	1,100	
anch	11	1,415	12
anch			12
anch			5
anch			3
anch			3
anch			7
anch			8
anch			0
anch	13	0,750	5
anch	14	0,750	
anch	15	1,550	
anch	16	1,550	
anch	17	0,350	
anch	18	0,350	
anch	19	1,100	10
anch			7
anch			6
anch			0
anch			3,5
anch	20	1,100	1,5
anch			4
anch			15
anch			7
anch	21	1,415	8
anch			0
anch			1
anch	22	1,415	15
anch			0
anch			0
anch			0
anch			0
anch			3
anch	24	1,550	3
anch			2
anch			2
anch			2
anch	25	0,750	
anch			
anch			
anch	26	0,750	
anch	27	0,350	
anch			0
anch	28	0,350	
anch	29	1,100	3
anch			2
anch	30	1,100	6
anch	31	2,700	10
anch			10
anch			10
anch			0
anch	32	0,750	5
anch			3
anch	34	1,550	3
anch	35	1,550	0
anch	36	0,350	
anch	37	0,350	
anch	38	1,100	25
anch			8
anch			0
anch			0
anch	39	1,100	4
anch	40	1,415	10
anch			10
anch			10
anch			7
anch	41	1,415	10
anch			0
anch			0
anch			11
anch			5
anch			5
anch			5
anch			5
anch	42	1,550	5
anch			1
anch			3
anch	43	1,550	1
anch	44	1,100	
anch	45	1,100	
anch	46	2,700	10
anch			10
anch			6
anch			12
anch			20
anch	47	1,415	0
anch			17
anch			1,5
anch	48	1,415	0
anch	49	0,750	3,5
anch			2,5
anch			2
anch			12
anch	50	0,750	7,5
anch			5
anch	51	0,350	
anch	52	0,350	
anch	53	1,415	9
anch			10
anch	54	1,415	10
anch	55	0,350	
anch	56	0,350	
anch	57	1,550	6
anch			6
anch			2
anch	58	1,550	3
anch			0
anch	59	0,750	2
anch	60	0,750	
anch	61	1,100	5
anch			8
anch	62	1,100	3
anch	63	0,350	
anch	64	0,350	
anch	65	1,100	0
anch	66	1,100	4
anch	67	0,750	
anch	68	0,750	1
anch	69	1,415	0,5
anch			2
anch			7
anch			0
anch			3,5
anch	70	1,415	0
anch	71	1,550	0
anch	72	1,550	0
anch	73	1,415	0
anch			12
anch			7
anch	74	1,415	1
anch			13
anch			10
anch			0
anch			5
anch			4
anch			3
anch			1,5
anch			10
anch			10
anch			10
anch	75	0,350	5
anch			8
anch			10
anch	76	0,350	
anch	77	1,100	
anch			
anch	78	1,100	15
anch			7
anch			1
anch			1
anch	79	1,550	1
anch			0
anch			1
anch			4
anch			3
anch			3
anch			2
anch			2
anch			1
anch	80	1,550	5
anch			5
anch			3
anch			2
anch	81	0,750	5
anch	82	0,750	
anch			
anch	83	0,750	
anch	84	0,750	8
anch			8
anch	85	0,350	
anch	86	0,350	5
anch			5
anch			5
anch	87	1,550	4
anch			2,5
anch			9
anch			1
anch	88	1,550	0
anch			0
anch	89	1,100	
anch	90	1,100	
anch	91	1,415	7
anch			3
anch			0,5
anch	92	1,415	4
anch			7
anch			7
anch			2
anch	93	0,350	
anch	94	0,350	
anch	95	2,700	7
anch			0
anch			4
anch			0
anch			1
anch			3,5
anch			0
anch			3
anch			4
anch			4
anch			1
anch			3
anch			3
anch			8
anch			0
anch			4
anch	96	1,100	4
anch	97	1,100	0
anch	98	0,750	4
anch			1
anch	99	0,750	3
anch			6
anch	100	1,550	0
anch			4
anch			2
anch			0
anch			0
anch	101	1,550	3
anch	102	0,350	
anch	103	0,350	15
anch	104	1,100	3,5
anch	105	1,100	3,5
anch			4
anch	106	1,415	1
anch			0
anch	107	1,415	
anch	108	0,750	0
anch			6
anch			7
anch			7
anch			0
anch			4
anch			4
anch	109	0,750	3
anch			0
anch			2,5
anch			2
anch	110	1,550	0
anch			5
anch			0
anch			6
anch			3
anch			2
anch			2
anch			2
anch	111	1,550	0
anch	112	1,100	
anch	113	1,100	0
anch			1
anch	114	1,415	10
anch			0
anch			1
anch			0
anch			1
anch			6
anch	115	1,415	1
anch			4
anch			6
anch			3
anch			5
anch			3
anch			3
anch			0
anch			0
anch			12
anch			3
anch			10
anch	116	0,750	6,5
anch	117	0,750	3
anch	118	1,550	0
anch			3
anch			2,5
anch			18
anch			3
anch			3,5
anch	119	1,550	1
anch			0
anch	120	0,350	
anch	121	0,350	
anch	122	0,750	0
anch			5
anch	123	0,750	7
anch			7
anch			5
anch			8
anch	124	0,350	
anch	125	0,350	
anch	126	1,550	6
anch			3
anch			3
anch			12
anch			7
anch			5,5
anch	127	1,550	0
anch	128	1,415	6,5
anch			4
anch			7,5
anch			0
anch			0
anch	129	1,415	6
anch			0
anch			3
anch			3
anch			3
anch	130	1,100	6
anch	131	1,100	
