Region	Ordem	Extensão	Indivíduos	DP
Anch	1	1,415	1	2,5
Anch			1	2,5
Anch			1	8,5
Anch	2	1,55		
Anch	3	2,05	1	4,5
Anch	4	1,415		
Anch	5	1,415	1	6
Anch	6	1,415	1	4
Anch	7	1,55		
Anch	8	1,55	1	3,5
Anch	9	1,415	1	0
Anch	10	1,415		
Anch	11	1,415		
Anch	12	1,05		
Anch	13	1,05		
Anch	14	1,415		
Anch	15	1,415		
Anch	16	1,05		
Anch	17	1,05	1	0
Anch	18	1,415	1	1
Anch	19	1,415		
Anch	20	1,05		
Anch	21	1,05		
Anch	22	1,55		
Anch	23	1,55		
Anch	24	1,415		
Anch	25	1,415	1	2
Anch	26	1,55		
Anch	27	1,55		
Anch	28	1,415	1	1,5
Anch	29	1,415		
Anch	30	1,05		
Anch	31	1,05		
Anch	32	1,55		
Anch	33	1,55		
Anch	34	1,415		
Anch	35	1,415	1	1
				
				
				
