Region	Ordem	Trajeto	Indivíduos	DP
Anch	1	1,05		
Anch	2	1,05		
Anch	3	0,75		
Anch	4	0,75		
Anch	5	1,415	1	0
Anch			1	0
Anch	6	1,415	1	3,5
Anch	7	0,35	1	2,5
Anch	8	0,35		
Anch	9	0,75		
Anch	10	0,75		
Anch	11	1,55		
Anch	12	1,55		
Anch	13	0,75		
Anch	14	0,75		
Anch	15	1,415		
Anch	16	1,415	1	1,3
Anch			1	0
Anch	17	0,35		
Anch	18	0,35		
Anch	19	1,55	1	0
Anch			1	2
Anch	20	1,55		
Anch	21	1,415	1	4,5
Anch	22	1,415		
Anch	23	1,05	1	10
Anch	24	1,05	1	1
Anch	25	0,35		
Anch	26	0,35		
Anch	27	0,75		
Anch	28	0,75		
Anch	29	1,05	1	7,5
Anch	30	1,05	1	5
Anch	31	0,75		
Anch	32	0,75	1	10
Anch			1	8
Anch	33	1,05	1	8,5
Anch	34	1,05	1	4,5
Anch	35	1,415		
Anch	36	1,415	1	2,5
Anch	37	0,35		
Anch	38	0,35		
Anch	39	1,05		
Anch	40	1,05		
Anch	41	1,415	1	2
Anch	42	1,415	1	4
Anch	43	0,35		
Anch	44	0,35	1	2,5
Anch	45	1,415		
Anch	46	1,415		
Anch	47	0,35		
Anch	48	0,35	1	5
Anch	49	0,75		
Anch	50	0,75	1	1
Anch	51	1,415	1	3
Anch	52	1,415		
Anch	53	1,05	1	3
Anch	54	1,05		
Anch	55	0,75	1	0
Anch	56	0,75	1	0
Anch	57	0,35		
Anch	58	0,35		
Anch	59	0,75	1	2,5
Anch	60	0,75	1	1,5
Anch	61	1,05		
Anch	62	1,05	1	4
Anch	63	0,35		
Anch	64	0,35	1	3
Anch	65	1,415		
Anch	66	1,415	1	4,5
Anch			1	1,5
Anch	67	1,55	1	3
Anch			1	1,5
Anch	68	1,55	1	6
Anch			1	4
Anch	69	1,05		
Anch	70	1,05		
Anch	71	1,415	1	2,5
Anch	72	1,415	1	4
Anch			1	1
Anch	73	0,35		
Anch	74	0,35		
