Region	Ordem	Extensão	Indivíduos	Espécie	DP
Anch	1	1,415			
Anch	2	1,415			
Anch	3	0,75			
Anch	4	0,75			
Anch	5	1,55			
Anch	6	1,55			
Anch	7	0,35			
Anch	8	0,35			
Anch	9	1,05			
Anch	10	1,05			
Anch	11	1,415			
Anch	12	1,415			
Anch	13	0,75			
Anch	14	0,75			
Anch	15	1,55			
Anch	16	1,55			
Anch	17	0,35			
Anch	18	0,35			
Anch	19	1,05			
Anch	20	1,05			
Anch	21	1,415			
Anch	22	1,415			
Anch	23	1,55			
Anch	24	1,55			
Anch	25	0,75			
Anch	26	0,75			
Anch	27	0,35			
Anch	28	0,35			
Anch	29	1,05			
Anch	30	1,05			
Anch	31	2,7			
Anch	32	0,75			
Anch	33	0,75			
Anch	34	1,55			
Anch	35	1,55			
Anch	36	0,35			
Anch	37	0,35			
Anch	38	1,05			
Anch	39	1,05			
Anch	40	1,415			
Anch	41	1,415			
Anch	42	1,55			
Anch	43	1,55			
Anch	44	1,05	1	Nasua nasua	4
Anch	45	1,05			
Anch	46	2,7	6	Nasua nasua	20
Anch	47	1,415			
Anch	48	1,415			
Anch	49	0,75			
Anch	50	0,75			
Anch	51	0,35			
Anch	52	0,35			
Anch	53	1,415	1	Nasua nasua	4
Anch	54	1,415			
Anch	55	0,35			
Anch	56	0,35			
Anch	57	1,55			
Anch	58	1,55			
Anch	59	0,75			
Anch	60	0,75			
Anch	61	1,05			
Anch	62	1,05			
Anch	63	0,35			
Anch	64	0,35			
Anch	65	1,05			
Anch	66	1,05			
Anch	67	0,75			
Anch	68	0,75			
Anch	69	1,415			
Anch	70	1,415			
Anch	71	1,55			
Anch	72	1,55			
Anch	73	1,415			
Anch	74	1,415	1	Nasua nasua	7
Anch	75	0,35			
Anch	76	0,35			
Anch	77	1,05			
Anch	78	1,05			
Anch	79	1,55			
Anch	80	1,55			
Anch	81	0,75			
Anch	82	0,75			
Anch	83	0,75			
Anch	84	0,75			
Anch	85	0,35			
Anch	86	0,35			
Anch	87	1,55			
Anch	88	1,55			
Anch	89	1,05			
Anch	90	1,05			
Anch	91	1,415			
Anch	92	1,415			
Anch	93	0,35			
Anch	94	0,35			
Anch	95	2,7			
Anch	96	1,05			
Anch	97	1,05			
Anch	98	0,75	3	Nasua nasua	2
Anch	99	0,75	1	Nasua nasua	1
Anch	100	1,55			
Anch	101	1,55			
Anch	102	0,35			
Anch	103	0,35			
Anch	104	1,05			
Anch	105	1,05			
Anch	106	1,415			
Anch	107	1,415			
Anch	108	0,75			
Anch	109	0,75	1	Nasua nasua	6
Anch	110	1,55			
Anch	112	1,55			
Anch	113	1,05			
Anch	114	1,415			
Anch	115	1,415			
Anch	116	0,75			
Anch	117	0,75			
Anch	118	1,55	1	Nasua nasua	1
Anch			1	Nasua nasua	5
Anch			1	Nasua nasua	9
Anch	119	1,55			
Anch	120	0,35			
Anch	121	0,35			
Anch	122	0,75			
Anch	123	0,75	2	Nasua nasua	10
Anch	124	0,35			
Anch	125	0,35			
Anch	126	1,55			
Anch	127	1,55			
Anch	128	1,415			
Anch	129	1,415			
Anch	130	1,05			
Anch	131	1,05			
