Region	Ordem	Extensão	Indivíduos	DP
Anch	1	1,415		
Anch	2	1,55		
Anch	3	1,05		
Anch	4	1,55		
Anch	5	2,7		
Anch	6	1,415		
Anch	7	1,05		
Anch	8	1,05		
Anch	9	1,415	7	6
Anch	10	1,55		
Anch	11	1,415		
Anch	12	1,415		
Anch	13	2,7		
Anch	14	2,7		
Anch	15	1,415		
Anch	16	1,05		
Anch	17	1,05		
Anch	18	1,55		
Anch	19	1,55		
Anch	20	1,415		
Anch	21	1,415		
Anch	22	1,05		
Anch	23	1,05		
Anch	24	1,415		
Anch	25	1,05		
Anch	26	1,05		
Anch	27	1,415		
Anch	28	1,415		
Anch	29	1,05		
Anch	30	1,415		
Anch	31	1,415		
Anch	32	1,05		
Anch	33	1,05		
Anch	34	1,415						
Anch	35	1,415		
